household_id,cluster,cluster_name,r_score,f_score,m_score,rfm_code,has_demographics
2108,3,Loyal Actives,5,4,3,543,False
2109,3,Loyal Actives,3,4,4,344,False
2110,3,Loyal Actives,4,5,5,455,True
2111,3,Loyal Actives,5,4,3,543,True
2112,3,Loyal Actives,2,4,5,245,True
2113,2,Declining,1,3,3,133,False
2114,3,Loyal Actives,4,4,4,444,False
2115,0,Champions,5,5,5,555,True
2116,3,Loyal Actives,4,5,5,455,True
2117,3,Loyal Actives,3,3,2,332,False
2118,2,Declining,1,2,2,122,False
2119,3,Loyal Actives,5,2,3,523,True
2120,3,Loyal Actives,2,3,3,233,False
2121,0,Champions,3,4,5,345,True
2122,1,Truly Lapsed,2,1,1,211,False
2123,3,Loyal Actives,4,3,5,435,True
2124,0,Champions,5,5,5,555,True
2125,0,Champions,5,4,5,545,False
2126,3,Loyal Actives,3,4,4,344,False
2127,2,Declining,3,2,3,323,False
2128,1,Truly Lapsed,1,2,1,121,False
2129,0,Champions,3,5,5,355,True
2130,3,Loyal Actives,2,4,5,245,True
2131,3,Loyal Actives,4,4,4,444,False
2132,2,Declining,5,2,2,522,False
2133,0,Champions,4,4,5,445,True
2134,3,Loyal Actives,4,3,5,435,True
2135,2,Declining,1,2,2,122,False
2136,3,Loyal Actives,5,1,3,513,False
2137,0,Champions,5,5,4,554,False
2138,3,Loyal Actives,2,3,3,233,False
2139,3,Loyal Actives,4,5,5,455,False
2140,3,Loyal Actives,3,3,3,333,True
2141,3,Loyal Actives,3,3,4,334,False
2142,3,Loyal Actives,4,3,5,435,False
2143,1,Truly Lapsed,1,1,1,111,False
2144,3,Loyal Actives,3,3,4,334,False
2145,2,Declining,1,2,2,122,False
2146,2,Declining,1,2,2,122,False
2147,3,Loyal Actives,4,3,5,435,True
2148,3,Loyal Actives,2,4,3,243,True
2149,0,Champions,5,4,4,544,False
2151,1,Truly Lapsed,1,1,1,111,False
2152,2,Declining,2,1,1,211,False
2153,3,Loyal Actives,5,2,2,522,False
2154,3,Loyal Actives,5,5,4,554,True
2155,1,Truly Lapsed,1,1,1,111,False
2156,0,Champions,2,4,5,245,True
2157,2,Declining,1,1,1,111,False
2158,0,Champions,5,4,4,544,True
2159,3,Loyal Actives,4,4,3,443,False
2160,2,Declining,3,3,2,332,False
2161,0,Champions,3,2,3,323,False
2162,3,Loyal Actives,5,5,5,555,True
2163,2,Declining,2,1,1,211,False
2164,1,Truly Lapsed,1,1,2,112,False
2165,2,Declining,3,1,1,311,False
2166,1,Truly Lapsed,1,1,1,111,False
2167,2,Declining,1,2,2,122,False
2168,3,Loyal Actives,5,5,4,554,True
2169,2,Declining,2,2,2,222,False
2170,3,Loyal Actives,5,5,5,555,False
2171,3,Loyal Actives,4,4,4,444,False
2172,3,Loyal Actives,5,4,4,544,True
2173,3,Loyal Actives,5,4,4,544,True
2174,3,Loyal Actives,4,2,1,421,False
2175,2,Declining,4,1,2,412,False
2176,2,Declining,1,4,3,143,False
2177,1,Truly Lapsed,1,1,1,111,False
2178,0,Champions,1,5,4,154,False
2179,2,Declining,3,2,2,322,True
2180,2,Declining,2,2,2,222,False
2181,3,Loyal Actives,4,3,4,434,True
2182,3,Loyal Actives,3,3,2,332,True
2183,0,Champions,4,5,4,454,True
2184,0,Champions,3,4,4,344,True
2185,3,Loyal Actives,3,3,5,335,True
2186,3,Loyal Actives,2,4,5,245,True
2187,2,Declining,2,2,3,223,False
2188,3,Loyal Actives,4,4,4,444,True
2189,0,Champions,4,4,3,443,False
2190,0,Champions,5,5,5,555,True
2191,2,Declining,1,1,2,112,False
2192,2,Declining,1,1,1,111,False
2193,3,Loyal Actives,5,4,5,545,True
2194,3,Loyal Actives,5,5,5,555,True
2195,3,Loyal Actives,5,3,2,532,False
2196,3,Loyal Actives,4,3,2,432,False
2197,2,Declining,2,1,1,211,False
2198,0,Champions,5,5,5,555,True
2199,0,Champions,3,4,5,345,True
2200,3,Loyal Actives,4,5,5,455,True
2202,2,Declining,1,1,1,111,False
2203,3,Loyal Actives,1,3,4,134,True
2204,3,Loyal Actives,5,5,3,553,False
2205,2,Declining,2,2,2,222,False
2206,2,Declining,1,2,1,121,False
2207,3,Loyal Actives,4,5,5,455,False
2208,3,Loyal Actives,3,4,5,345,True
2209,0,Champions,5,5,5,555,True
2210,3,Loyal Actives,5,2,3,523,False
2211,3,Loyal Actives,5,3,3,533,False
2212,1,Truly Lapsed,1,2,1,121,False
2213,2,Declining,3,2,2,322,False
2214,2,Declining,2,1,1,211,False
2215,3,Loyal Actives,2,4,3,243,False
2216,3,Loyal Actives,5,2,1,521,False
2217,3,Loyal Actives,5,5,4,554,True
2218,2,Declining,3,1,2,312,False
2219,0,Champions,1,1,1,111,False
2220,2,Declining,3,1,1,311,False
2221,3,Loyal Actives,4,4,3,443,True
2222,3,Loyal Actives,2,2,4,224,False
2223,2,Declining,3,2,1,321,False
2224,3,Loyal Actives,4,4,4,444,True
2225,3,Loyal Actives,4,4,4,444,False
2226,0,Champions,2,5,5,255,False
2227,3,Loyal Actives,3,5,4,354,False
2228,1,Truly Lapsed,1,4,4,144,False
2229,3,Loyal Actives,4,3,3,433,False
2230,2,Declining,2,2,2,222,False
2231,3,Loyal Actives,2,3,4,234,True
2232,2,Declining,2,2,2,222,False
2233,0,Champions,5,5,5,555,True
2234,3,Loyal Actives,5,5,5,555,True
2235,3,Loyal Actives,4,4,4,444,True
2236,0,Champions,2,5,4,254,False
2237,3,Loyal Actives,5,4,5,545,True
2238,3,Loyal Actives,5,5,4,554,False
2239,2,Declining,1,2,3,123,False
2240,3,Loyal Actives,5,5,4,554,False
2241,3,Loyal Actives,3,3,3,333,False
2242,3,Loyal Actives,3,2,2,322,False
2243,3,Loyal Actives,2,2,5,225,True
2244,3,Loyal Actives,4,5,4,454,False
2245,3,Loyal Actives,3,5,4,354,False
2246,1,Truly Lapsed,1,1,1,111,False
2247,3,Loyal Actives,5,3,4,534,False
2248,2,Declining,2,2,2,222,False
2250,3,Loyal Actives,2,3,3,233,True
2251,2,Declining,3,1,3,313,False
2252,0,Champions,5,5,5,555,True
2253,2,Declining,1,1,1,111,False
2254,0,Champions,1,4,2,142,True
2255,2,Declining,5,1,1,511,False
2256,2,Declining,1,2,3,123,False
2257,2,Declining,2,2,2,222,False
2258,2,Declining,2,2,2,222,False
2260,0,Champions,3,4,4,344,True
2261,0,Champions,5,5,5,555,False
2262,3,Loyal Actives,5,4,2,542,False
2263,3,Loyal Actives,4,5,4,454,False
2264,3,Loyal Actives,3,5,5,355,True
2266,3,Loyal Actives,5,5,5,555,True
2267,3,Loyal Actives,3,2,3,323,False
2268,2,Declining,1,1,1,111,False
2269,3,Loyal Actives,5,5,4,554,True
2270,3,Loyal Actives,4,5,4,454,False
2271,2,Declining,1,3,1,131,False
2272,1,Truly Lapsed,3,3,3,333,True
2273,2,Declining,2,2,2,222,False
2274,3,Loyal Actives,5,2,5,525,False
2275,3,Loyal Actives,5,4,4,544,False
2276,3,Loyal Actives,2,2,2,222,False
2277,3,Loyal Actives,2,4,4,244,False
2278,3,Loyal Actives,4,2,2,422,False
2279,3,Loyal Actives,5,3,2,532,True
2280,3,Loyal Actives,4,5,5,455,True
2281,3,Loyal Actives,3,4,5,345,False
2282,3,Loyal Actives,3,3,2,332,True
2283,1,Truly Lapsed,2,1,2,212,False
2284,3,Loyal Actives,5,5,5,555,True
2285,3,Loyal Actives,3,3,3,333,False
2286,2,Declining,2,1,1,211,False
2287,2,Declining,2,2,2,222,False
2288,3,Loyal Actives,3,3,3,333,False
2289,3,Loyal Actives,4,3,3,433,False
2290,3,Loyal Actives,4,3,2,432,False
2291,2,Declining,3,3,1,331,False
2292,0,Champions,4,4,3,443,True
2293,2,Declining,1,2,4,124,False
2294,0,Champions,3,4,5,345,True
2295,3,Loyal Actives,3,3,5,335,True
2296,3,Loyal Actives,5,5,5,555,True
2297,2,Declining,2,2,2,222,False
2298,3,Loyal Actives,4,3,4,434,True
2299,3,Loyal Actives,1,3,3,133,False
2300,3,Loyal Actives,2,4,5,245,True
2301,3,Loyal Actives,2,4,4,244,False
2302,3,Loyal Actives,4,3,3,433,True
2303,3,Loyal Actives,4,3,3,433,False
2304,2,Declining,1,1,1,111,False
2305,3,Loyal Actives,3,4,5,345,True
2307,0,Champions,4,5,5,455,True
2308,1,Truly Lapsed,1,2,2,122,False
2309,2,Declining,2,1,1,211,False
2310,3,Loyal Actives,2,3,3,233,False
2311,0,Champions,2,2,3,223,False
2312,3,Loyal Actives,2,5,5,255,True
2313,0,Champions,1,1,1,111,False
2314,3,Loyal Actives,5,3,4,534,True
2316,2,Declining,1,1,1,111,False
2317,3,Loyal Actives,4,4,5,445,True
2318,3,Loyal Actives,1,5,5,155,True
2319,2,Declining,3,2,2,322,False
2320,2,Declining,2,2,1,221,False
2321,1,Truly Lapsed,1,1,1,111,False
2322,3,Loyal Actives,4,5,5,455,True
2323,0,Champions,2,2,2,222,False
2324,3,Loyal Actives,4,4,4,444,True
2326,3,Loyal Actives,2,3,3,233,False
2327,2,Declining,2,2,2,222,False
2328,3,Loyal Actives,3,4,5,345,True
2329,2,Declining,1,3,3,133,False
2330,0,Champions,5,3,5,535,True
2331,0,Champions,3,3,5,335,True
2332,2,Declining,2,1,1,211,False
2333,2,Declining,2,1,1,211,False
2334,3,Loyal Actives,3,5,5,355,True
2335,3,Loyal Actives,4,3,3,433,False
2336,3,Loyal Actives,2,3,3,233,False
2337,3,Loyal Actives,5,5,5,555,True
2338,3,Loyal Actives,2,3,3,233,False
